20230405	08:52:53	0b9841ed-e90e-46ad-a775-71144f2dedb7	GET	undefined	/css/style.css
20230405	09:01:26	174e07ee-d89e-42d4-b38c-02332eeb85bc	GET	undefined	/
20230405	09:01:26	243a92ac-adad-41f3-8021-01a6a222d9ea	GET	undefined	/css/style.css
20230405	09:30:10	4b38f74b-f11c-4842-9d29-64840a240247	GET	undefined	/
20230405	09:30:10	4f14fe04-2467-469c-b9e8-65517615d853	GET	undefined	/css/style.css
20230405	09:30:10	6e808684-0557-43c1-888d-976a3862065e	GET	undefined	/favicon.ico
20230405	09:35:13	8a5a01bd-00ed-4877-b239-7a47e59107ea	GET	undefined	/
20230405	09:35:13	c5dcc099-324f-403f-87fd-d6710c80626e	GET	undefined	/css/style.css
20230405	09:35:13	af330106-1e6c-40ae-837c-832fcaa899a0	GET	undefined	/favicon.ico
20230405	09:38:11	4b45575b-fdbd-4bb3-a487-c6bca2a9cb1d	GET	undefined	/
20230405	09:38:11	7b7671c7-2c70-4042-ab45-257fcb93a9f6	GET	undefined	/favicon.ico
20230405	09:38:11	fbf8fb7e-2532-4ed4-a248-998811924df2	GET	undefined	/css/style.css
20230405	09:39:38	69406fa2-4a8e-484a-af0d-eaf53b9767c0	GET	undefined	/css/style.css
20230405	09:39:38	300badd2-54e4-4910-bd54-a5ce0a9571a5	GET	undefined	/favicon.ico
20230408	12:20:29	c7897132-1eb2-41f1-8a4b-0475972788ac	GET	undefined	/
20230408	12:20:29	8f5c988d-8391-4fee-9e00-6c6488002871	GET	undefined	/css/style.css
20230408	12:20:29	aaba609e-db69-480d-99c6-80ae74ad39ef	GET	undefined	/favicon.ico
20230408	12:20:50	5f595449-d3fa-4f98-8b30-ae2fd34a3580	GET	undefined	/new-page
20230408	12:20:50	b60a4cf0-2b53-4057-a668-250f8a50e5d3	GET	undefined	/img/img1.jpg
20230408	12:20:50	d828c26a-1a4c-4d56-9ec1-425830820e3c	GET	undefined	/css/style.css
20230408	12:20:52	59e78bca-7c71-4cf3-9148-6a967640f94b	GET	undefined	/css/style.css
20230408	12:21:02	5b220040-b717-46cd-b2c5-53ae4fbc4d39	GET	undefined	/new-page.html
20230408	12:21:02	98789ed7-c080-4c5c-82b4-41ac026f361d	GET	undefined	/css/style.css
20230408	12:21:02	382f1f02-1cba-4bdf-843f-4791e0f09d6b	GET	undefined	/img/img1.jpg
20230408	12:21:33	d035cf1a-a507-40c4-9fd3-e7eb75557c14	GET	undefined	/404
20230408	12:21:33	0f027a98-04c1-4e91-9d7f-f54602a2972c	GET	undefined	/css/style.css
20230408	12:21:43	752cdece-ca16-43df-b9a4-ecd5c1c46b19	GET	undefined	/
20230408	12:21:43	90164a39-9648-4981-a62f-1102cebdef59	GET	undefined	/css/style.css
20230408	12:22:34	d79d9e53-0b8c-4859-afbb-5358dea93e92	GET	undefined	/css/style.css
20230408	12:50:44	93de98a7-a29a-4bce-acc9-faa1ff23467a	GET	undefined	/
20230408	12:50:44	41b17c5c-9ccb-4e27-b69f-b62f5a9cedf5	GET	undefined	/css/style.css
20230408	12:55:10	e9eec9e0-27ca-4e92-b8bb-840d53a31817	GET	undefined	/
20230408	12:55:10	7358e907-eee4-4fe8-8889-7da57cd536a9	GET	undefined	/css/style.css
20230408	12:55:14	a927e459-dd7d-4be6-8b22-81b77eed58e2	GET	undefined	/new-page
20230408	12:55:14	9ed85d66-59cd-41d4-af58-ed4678e8f50e	GET	undefined	/css/style.css
20230408	12:55:14	fcb31995-0f75-4ba5-8830-41ae7a2f4571	GET	undefined	/img/img1.jpg
20230408	12:55:16	d810e6ac-febe-4b24-addc-a0a43d63d3c4	GET	undefined	/css/style.css
20230408	12:55:24	0127e028-963c-4dd8-a76a-f3ad3469616c	GET	undefined	/404
20230408	12:55:24	5092c454-6a90-407d-96c4-1f4c96b1e1a2	GET	undefined	/css/style.css
20230408	12:55:28	ee39c090-82d2-4f9e-b0c4-a41b1378bba9	GET	undefined	/index
20230408	12:55:28	89e627bd-2bb4-4d2e-bddd-85271584e644	GET	undefined	/css/style.css
20230408	12:55:32	488b5f62-c9e4-47aa-ad32-85b0a74d3712	GET	undefined	/
20230408	12:55:32	b2f5b494-5202-4f39-8360-0c55a4f3862b	GET	undefined	/css/style.css
20230408	12:55:32	27650950-c189-4719-9dff-636c71fccaa4	GET	undefined	/css/style.css
20230410	21:58:25	f8a2cc82-77a4-4d8b-ad02-0736f7e6b9a5	GET	undefined	/
20230410	21:58:25	6ab0151d-de69-498a-aae7-5fe37d6a6a0b	GET	undefined	/css/style.css
20230410	22:14:41	bedba08f-1ab9-449b-bc6a-bf1b7adf7ee1	OPTIONS	https://www.google.com	/
20230410	22:14:41	d89eeb1e-3e55-4af8-9f2f-5483e0546834	GET	https://www.google.com	/
20230410	22:16:28	baf5acf9-f017-4286-905f-f76a1abc60f6	OPTIONS	https://www.google.com	/
20230410	22:16:28	4ee56d08-2a2d-4835-85cf-60df839d0581	GET	https://www.google.com	/
20230410	22:23:46	b2056a54-9587-4c28-8629-921066285533	GET	undefined	/css/style.css
20230410	22:23:51	9b33817c-5878-49e5-9023-85d6a08779e2	GET	undefined	/
20230410	22:24:43	4fa496cd-b3c3-46ae-91ca-ade942134b87	GET	undefined	/
20230410	22:24:43	07dd71c1-3c40-41f3-880c-aaa64ffef474	GET	undefined	/css/style.css
20230410	22:31:24	58504582-37c0-4fa7-be36-87229bb48ffc	GET	undefined	/
20230410	22:34:23	06f04aca-01fc-4cc0-be5a-f221a9a9d826	GET	undefined	/
20230410	22:34:23	5ae59264-a801-491f-b26b-abc7266c8bd6	GET	undefined	/css/style.css
20230410	22:34:37	773a8613-007e-4e05-9f4c-c7de812c94a7	GET	undefined	/
20230410	22:34:56	38120bbe-dff1-46b5-b2fc-ada9b65d39ea	GET	undefined	/
20230410	22:34:56	27f797ad-c8a1-437e-a6e3-6c40f3029b4c	GET	undefined	/css/style.css
20230410	22:37:25	da2c601c-ea08-446f-848c-0601b916967b	GET	undefined	/
20230410	22:37:25	240de57c-413d-415e-b1f9-5243623fb27b	GET	undefined	/css/style.css
